Location,Obesity Percentage,Lower Limit,Upper Limit
"BarrowCounty,Georgia",38.3,29.3,48.1
"BartowCounty,Georgia",31,24.5,38.4
"BenHillCounty,Georgia",39.7,27.5,51.8
"BerrienCounty,Georgia",39.7,29,51.1
"BibbCounty,Georgia",36.5,29.9,43.2
"BleckleyCounty,Georgia",43,28.4,58.1
"BrantleyCounty,Georgia",32.6,20.8,45.4
"BrooksCounty,Georgia",33,23.2,44.5
"BryanCounty,Georgia",34.9,24.6,45.5
"BullochCounty,Georgia",30.2,23.2,37.4
"BurkeCounty,Georgia",34.2,22.7,46.4
"ButtsCounty,Georgia",33.5,19.1,49.3
"CalhounCounty,Georgia",27,14.8,43.7
"CamdenCounty,Georgia",39.1,30.6,47.8
"CandlerCounty,Georgia",50.2,34.6,64
"CarrollCounty,Georgia",39.8,31.4,47.9
"CatoosaCounty,Georgia",39,30.3,49
"CharltonCounty,Georgia",35.4,23.4,48.6
"ChathamCounty,Georgia",32.3,27.6,37
"ChattahoocheeCounty,Georgia",36,20.2,52
"ChattoogaCounty,Georgia",29.8,20.3,40.8
"CherokeeCounty,Georgia",26.3,21.5,31.7
"ClarkeCounty,Georgia",24.6,19.2,31.1
"ClayCounty,Georgia",36,19.7,53.7
"ClaytonCounty,Georgia",36.2,31.9,41.2
"ClinchCounty,Georgia",52.4,36,68.2
"CobbCounty,Georgia",28.8,25.8,32
"CoffeeCounty,Georgia",34.6,26,43.8
"ColquittCounty,Georgia",37.8,27.9,48.4
"ColumbiaCounty,Georgia",31.8,25.5,38.8
"CookCounty,Georgia",29.3,21,39.7
"CowetaCounty,Georgia",28.4,21.8,35.6
"CrawfordCounty,Georgia",46.4,31,61.9
"CrispCounty,Georgia",38.2,27.7,49.3
"DadeCounty,Georgia",41.2,29,54.4
"DawsonCounty,Georgia",27.1,18.1,37.3
"DecaturCounty,Georgia",26.8,18.5,36.4
"DekalbCounty,Georgia",26.1,23.2,29.1
"DodgeCounty,Georgia",34.3,23.5,46.3
"DoolyCounty,Georgia",38,25.4,51.6
"DoughertyCounty,Georgia",37.2,29.7,44.9
"DouglasCounty,Georgia",30.8,24.2,38
"EarlyCounty,Georgia",43.6,27.8,59.7
"EcholsCounty,Georgia",27.6,16.6,42.3
"EffinghamCounty,Georgia",39.8,30.3,50.8
"ElbertCounty,Georgia",40.5,27.3,54.7
"EmanuelCounty,Georgia",27.5,16.9,40.1
"EvansCounty,Georgia",31.2,18.7,47.4
"FanninCounty,Georgia",25.3,17.9,34.7
"FayetteCounty,Georgia",28.8,22.1,36.5
"FloydCounty,Georgia",37.8,29.5,46
"ForsythCounty,Georgia",26.7,21.2,32.5
"FranklinCounty,Georgia",32.7,22.2,44.9
"FultonCounty,Georgia",24.8,22.6,27.3
"GilmerCounty,Georgia",22.7,15.6,31.9
"GlascockCounty,Georgia",24.6,14.2,39.7
"GlynnCounty,Georgia",33.5,25.7,41.9
"GordonCounty,Georgia",29.5,20.6,39.4
"GradyCounty,Georgia",34.2,23.8,46
"GreeneCounty,Georgia",33.3,21.5,45.5
"GwinnettCounty,Georgia",29.9,26.9,33.2
"HabershamCounty,Georgia",25.3,17.3,35.1
"HallCounty,Georgia",32.3,26.5,38.3
"HancockCounty,Georgia",31.3,17.7,48.7
"HaralsonCounty,Georgia",22.4,14.8,32.2
"HarrisCounty,Georgia",36.1,25.8,46.9
"HartCounty,Georgia",32.6,21.9,44.8
"HeardCounty,Georgia",38.5,23.3,54.2
"HenryCounty,Georgia",35.6,29,41.7
"HoustonCounty,Georgia",39.6,32.4,46.9
"IrwinCounty,Georgia",40.6,27,54
"JacksonCounty,Georgia",29,21.6,37.2
"JasperCounty,Georgia",38.2,24.7,54.2
"JeffDavisCounty,Georgia",30.8,18.9,44.8
"JeffersonCounty,Georgia",28.6,15.5,43.5
"JenkinsCounty,Georgia",35,20.4,52.2
"JohnsonCounty,Georgia",41.7,29.7,54.6
"JonesCounty,Georgia",34.4,22.9,47.2
"LamarCounty,Georgia",32.1,18.8,47.9
"LanierCounty,Georgia",37.5,24.2,51.7
"LaurensCounty,Georgia",42,35.1,49.2
"LeeCounty,Georgia",43.9,32.4,55.5
"LibertyCounty,Georgia",38,28.7,47.4
"LincolnCounty,Georgia",23.5,14.1,35.9
"LongCounty,Georgia",34.1,22.6,47.2
"LowndesCounty,Georgia",38.5,32.6,44.9
"LumpkinCounty,Georgia",34.8,23.3,48.8
"MaconCounty,Georgia",31.5,20.6,43.9
"MadisonCounty,Georgia",33.4,23.3,44.3
"MarionCounty,Georgia",32.9,22.1,44.9
"McduffieCounty,Georgia",23.7,13.5,37.3
"McintoshCounty,Georgia",30,19.5,42.4
"MeriwetherCounty,Georgia",33.1,21.3,47.1
"MillerCounty,Georgia",23.4,12.6,37.4
"MitchellCounty,Georgia",34.3,23.6,46
"MonroeCounty,Georgia",35.8,23.8,48.9
