Location,Population,Obesity Percentage,Lower Limit,Upper Limit
"Jefferson County,  Texas",255001,34.9,30.1,40.1
"St. Johns County,  Florida",254261,22.7,19.6,25.8
"Cherokee County,  Georgia",254149,26.3,21.5,31.7
"Harford County,  Maryland",253956,32,29,35
"Yakima County,  Washington",251446,35,31.5,38.5
"Cumberland County,  Pennsylvania",251423,28.9,23.9,33.9
"Clay County,  Missouri",246365,33.1,29.5,36.7
"Caddo Parish,  Louisiana",242922,40.1,36.3,44.2
"Lafayette Parish,  Louisiana",242782,31,26.7,35.2
"Arlington County,  Virginia",237521,20,17,23.3
"Hinds County,  Mississippi",237085,37,33.5,40.7
"Washington County,  Arkansas",236961,29.9,26.6,33.3
"Forsyth County,  Georgia",236612,26.7,21.2,32.5
"Union County,  North Carolina",235908,31.7,25.8,38
"New Hanover County,  North Carolina",232274,26.3,22,30.8
"Warren County,  Ohio",232173,27.4,22.9,32.4
"Yavapai County,  Arizona",231993,23,19.9,26.1
"Williamson County,  Tennessee",231729,20.7,16.3,26
"Butte County,  California",231256,27.2,22.2,32.7
"Lake County,  Ohio",230514,24.7,19.9,30
"Smith County,  Texas",230221,34.5,28.4,41.3
"Henry County,  Georgia",230220,35.6,29,41.7
"Saratoga County,  New York",230163,25.5,22.7,28.5
"Mahoning County,  Ohio",229642,31.4,27.4,36
"Oneida County,  New York",229577,33.5,29.9,37.2
"Sussex County,  Delaware",229286,32.6,30.7,34.7
"Brazos County,  Texas",226758,29.2,26.2,32.3
"Linn County,  Iowa",225909,34.5,31.4,37.7
"Montgomery County,  Alabama",225763,37.7,34,41.2
"Whatcom County,  Washington",225685,27.8,25.1,30.9
