Location,NAICS Code,NAICS Description,Total CBP and NES Establishments,CBP Establishments Percentage,NES Establishments Percentage,CBP Establishments
"Baldwin,  Alabama",7225,Restaurants and Other Eating Places,510,85.1,14.9,434
"Barbour,  Alabama",7225,Restaurants and Other Eating Places,D,D,D,39
"Bibb,  Alabama",7225,Restaurants and Other Eating Places,21,71.4,28.6,15
"Blount,  Alabama",7225,Restaurants and Other Eating Places,63,57.1,42.9,36
"Bullock,  Alabama",7225,Restaurants and Other Eating Places,D,D,D,5
"Butler,  Alabama",7225,Restaurants and Other Eating Places,D,D,D,29
"Calhoun,  Alabama",7225,Restaurants and Other Eating Places,204,88.7,11.3,181
"Chambers,  Alabama",7225,Restaurants and Other Eating Places,55,89.1,10.9,49
"Cherokee,  Alabama",7225,Restaurants and Other Eating Places,40,70,30,28
"Chilton,  Alabama",7225,Restaurants and Other Eating Places,66,72.7,27.3,48
"Choctaw,  Alabama",7225,Restaurants and Other Eating Places,20,65,35,13
"Clarke,  Alabama",7225,Restaurants and Other Eating Places,47,89.4,10.6,42
"Clay,  Alabama",7225,Restaurants and Other Eating Places,D,D,D,12
"Cleburne,  Alabama",7225,Restaurants and Other Eating Places,14,50,50,7
"Coffee,  Alabama",7225,Restaurants and Other Eating Places,102,78.4,21.6,80
"Colbert,  Alabama",7225,Restaurants and Other Eating Places,111,82,18,91
"Conecuh,  Alabama",7225,Restaurants and Other Eating Places,17,64.7,35.3,11
"Covington,  Alabama",7225,Restaurants and Other Eating Places,57,82.5,17.5,47
"Crenshaw,  Alabama",7225,Restaurants and Other Eating Places,20,70,30,14
