Location,NAICS Code,NAICS Description,Total CBP and NES Establishments,CBP Establishments Percentage,NES Establishments Percentage,CBP Establishments
"Cullman,  Alabama",7225,Restaurants and Other Eating Places,134,88.1,11.9,118
"Dale,  Alabama",7225,Restaurants and Other Eating Places,93,69.9,30.1,65
"Dallas,  Alabama",7225,Restaurants and Other Eating Places,48,83.3,16.7,40
"DeKalb,  Alabama",7225,Restaurants and Other Eating Places,127,62.2,37.8,79
"Elmore,  Alabama",7225,Restaurants and Other Eating Places,98,86.7,13.3,85
"Escambia,  Alabama",7225,Restaurants and Other Eating Places,69,72.5,27.5,50
"Etowah,  Alabama",7225,Restaurants and Other Eating Places,177,84.7,15.3,150
"Fayette,  Alabama",7225,Restaurants and Other Eating Places,39,56.4,43.6,22
"Franklin,  Alabama",7225,Restaurants and Other Eating Places,43,88.4,11.6,38
"Geneva,  Alabama",7225,Restaurants and Other Eating Places,41,70.7,29.3,29
"Greene,  Alabama",7225,Restaurants and Other Eating Places,D,D,D,4
"Hale,  Alabama",7225,Restaurants and Other Eating Places,D,D,D,15
"Henry,  Alabama",7225,Restaurants and Other Eating Places,26,84.6,15.4,22
"Houston,  Alabama",7225,Restaurants and Other Eating Places,256,81.6,18.4,209
"Jackson,  Alabama",7225,Restaurants and Other Eating Places,76,80.3,19.7,61
"Jefferson,  Alabama",7225,Restaurants and Other Eating Places,"1,409",85.6,14.4,"1,206"
"Lamar,  Alabama",7225,Restaurants and Other Eating Places,22,59.1,40.9,13
"Lauderdale,  Alabama",7225,Restaurants and Other Eating Places,171,92.4,7.6,158
"Lawrence,  Alabama",7225,Restaurants and Other Eating Places,40,77.5,22.5,31
"Lee,  Alabama",7225,Restaurants and Other Eating Places,300,88.7,11.3,266
"Limestone,  Alabama",7225,Restaurants and Other Eating Places,128,79.7,20.3,102
"Lowndes,  Alabama",7225,Restaurants and Other Eating Places,D,D,D,3
"Macon,  Alabama",7225,Restaurants and Other Eating Places,19,63.2,36.8,12
"Madison,  Alabama",7225,Restaurants and Other Eating Places,692,89.7,10.3,621
"Marengo,  Alabama",7225,Restaurants and Other Eating Places,D,D,D,31
"Marion,  Alabama",7225,Restaurants and Other Eating Places,55,76.4,23.6,42
"Marshall,  Alabama",7225,Restaurants and Other Eating Places,170,87.1,12.9,148
"Mobile,  Alabama",7225,Restaurants and Other Eating Places,695,78,22,542
"Monroe,  Alabama",7225,Restaurants and Other Eating Places,30,70,30,21
"Montgomery,  Alabama",7225,Restaurants and Other Eating Places,452,87.4,12.6,395
"Morgan,  Alabama",7225,Restaurants and Other Eating Places,198,84.8,15.2,168
"Perry,  Alabama",7225,Restaurants and Other Eating Places,16,50,50,8
"Pickens,  Alabama",7225,Restaurants and Other Eating Places,21,57.1,42.9,12
"Pike,  Alabama",7225,Restaurants and Other Eating Places,64,90.6,9.4,58
"Randolph,  Alabama",7225,Restaurants and Other Eating Places,22,81.8,18.2,18
"Russell,  Alabama",7225,Restaurants and Other Eating Places,90,83.3,16.7,75
"St. Clair,  Alabama",7225,Restaurants and Other Eating Places,113,90.3,9.7,102
"Shelby,  Alabama",7225,Restaurants and Other Eating Places,362,85.9,14.1,311
"Sumter,  Alabama",7225,Restaurants and Other Eating Places,D,D,D,15
"Talladega,  Alabama",7225,Restaurants and Other Eating Places,127,78,22,99
"Tallapoosa,  Alabama",7225,Restaurants and Other Eating Places,57,87.7,12.3,50
"Tuscaloosa,  Alabama",7225,Restaurants and Other Eating Places,357,88.2,11.8,315
"Walker,  Alabama",7225,Restaurants and Other Eating Places,110,80,20,88
"Washington,  Alabama",7225,Restaurants and Other Eating Places,19,36.8,63.2,7
"Wilcox,  Alabama",7225,Restaurants and Other Eating Places,10,50,50,5
"Winston,  Alabama",7225,Restaurants and Other Eating Places,39,71.8,28.2,28
"Aleutians East,  Alaska",7225,Restaurants and Other Eating Places,D,D,D,3
"Aleutians West,  Alaska",7225,Restaurants and Other Eating Places,9,55.6,44.4,5
"Anchorage Borough,  Alaska",7225,Restaurants and Other Eating Places,668,88.3,11.7,590
"Bethel,  Alaska",7225,Restaurants and Other Eating Places,19,68.4,31.6,13
"Denali,  Alaska",7225,Restaurants and Other Eating Places,D,D,D,10
"Dillingham,  Alaska",7225,Restaurants and Other Eating Places,D,D,D,4
"Fairbanks North Star Borough,  Alaska",7225,Restaurants and Other Eating Places,179,79.9,20.1,143
"Haines Borough,  Alaska",7225,Restaurants and Other Eating Places,D,D,D,7
"Hoonah-Angoon Census Area,  Alaska",7225,Restaurants and Other Eating Places,6,50,50,3
"Juneau Borough,  Alaska",7225,Restaurants and Other Eating Places,82,89,11,73
"Kenai Peninsula Borough,  Alaska",7225,Restaurants and Other Eating Places,180,81.7,18.3,147
"Ketchikan Gateway Borough,  Alaska",7225,Restaurants and Other Eating Places,40,75,25,30
"Kodiak Island Borough,  Alaska",7225,Restaurants and Other Eating Places,27,81.5,18.5,22
"Matanuska-Susitna Borough,  Alaska",7225,Restaurants and Other Eating Places,158,81.6,18.4,129
"Nome,  Alaska",7225,Restaurants and Other Eating Places,D,D,D,13
"North Slope Borough,  Alaska",7225,Restaurants and Other Eating Places,D,D,D,7
"Northwest Arctic,  Alaska",7225,Restaurants and Other Eating Places,D,D,D,5
"Petersburg Census Area,  Alaska",7225,Restaurants and Other Eating Places,D,D,D,6
"Prince of Wales-Hyder Census Area,  Alaska",7225,Restaurants and Other Eating Places,D,D,D,7
"Sitka Borough,  Alaska",7225,Restaurants and Other Eating Places,22,81.8,18.2,18
"Southeast Fairbanks,  Alaska",7225,Restaurants and Other Eating Places,14,71.4,28.6,10
"Valdez-Cordova,  Alaska",7225,Restaurants and Other Eating Places,35,77.1,22.9,27
"Wrangell City and Borough,  Alaska",7225,Restaurants and Other Eating Places,6,33.3,66.7,2
"Yukon-Koyukuk,  Alaska",7225,Restaurants and Other Eating Places,D,D,D,2
"Apache,  Arizona",7225,Restaurants and Other Eating Places,40,72.5,27.5,29
"Cochise,  Arizona",7225,Restaurants and Other Eating Places,197,80.7,19.3,159
"Coconino,  Arizona",7225,Restaurants and Other Eating Places,357,91.9,8.1,328
"Gila,  Arizona",7225,Restaurants and Other Eating Places,106,85.8,14.2,91
"Graham,  Arizona",7225,Restaurants and Other Eating Places,42,83.3,16.7,35
"Greenlee,  Arizona",7225,Restaurants and Other Eating Places,13,76.9,23.1,10
"La Paz,  Arizona",7225,Restaurants and Other Eating Places,60,76.7,23.3,46
"Maricopa,  Arizona",7225,Restaurants and Other Eating Places,"7,310",87.3,12.7,"6,381"
"Mohave,  Arizona",7225,Restaurants and Other Eating Places,304,91.1,8.9,277
"Navajo,  Arizona",7225,Restaurants and Other Eating Places,175,83.4,16.6,146
"Pima,  Arizona",7225,Restaurants and Other Eating Places,"1,645",88.5,11.5,"1,456"
"Pinal,  Arizona",7225,Restaurants and Other Eating Places,341,80.1,19.9,273
"Santa Cruz,  Arizona",7225,Restaurants and Other Eating Places,107,62.6,37.4,67
"Yavapai,  Arizona",7225,Restaurants and Other Eating Places,457,86.7,13.3,396
"Yuma,  Arizona",7225,Restaurants and Other Eating Places,277,80.1,19.9,222
"Arkansas,  Arkansas",7225,Restaurants and Other Eating Places,39,66.7,33.3,26
"Ashley,  Arkansas",7225,Restaurants and Other Eating Places,33,69.7,30.3,23
"Baxter,  Arkansas",7225,Restaurants and Other Eating Places,81,88.9,11.1,72
"Benton,  Arkansas",7225,Restaurants and Other Eating Places,458,80.3,19.7,368
"Boone,  Arkansas",7225,Restaurants and Other Eating Places,60,95,5,57
"Bradley,  Arkansas",7225,Restaurants and Other Eating Places,17,70.6,29.4,12
"Calhoun,  Arkansas",7225,Restaurants and Other Eating Places,D,D,D,4
"Carroll,  Arkansas",7225,Restaurants and Other Eating Places,92,75,25,69
"Chicot,  Arkansas",7225,Restaurants and Other Eating Places,D,D,D,7
"Clark,  Arkansas",7225,Restaurants and Other Eating Places,41,87.8,12.2,36
"Clay,  Arkansas",7225,Restaurants and Other Eating Places,23,78.3,21.7,18
"Cleburne,  Arkansas",7225,Restaurants and Other Eating Places,51,90.2,9.8,46
"Cleveland,  Arkansas",7225,Restaurants and Other Eating Places,D,D,D,2
"Columbia,  Arkansas",7225,Restaurants and Other Eating Places,D,D,D,31
"Conway,  Arkansas",7225,Restaurants and Other Eating Places,25,88,12,22
"Craighead,  Arkansas",7225,Restaurants and Other Eating Places,214,85.5,14.5,183
"Crawford,  Arkansas",7225,Restaurants and Other Eating Places,79,84.8,15.2,67
"Crittenden,  Arkansas",7225,Restaurants and Other Eating Places,70,78.6,21.4,55
"Cross,  Arkansas",7225,Restaurants and Other Eating Places,27,77.8,22.2,21
"Desha,  Arkansas",7225,Restaurants and Other Eating Places,29,72.4,27.6,21
"Drew,  Arkansas",7225,Restaurants and Other Eating Places,D,D,D,27
"Faulkner,  Arkansas",7225,Restaurants and Other Eating Places,209,85.6,14.4,179
"Franklin,  Arkansas",7225,Restaurants and Other Eating Places,27,66.7,33.3,18
"Fulton,  Arkansas",7225,Restaurants and Other Eating Places,D,D,D,9
"Garland,  Arkansas",7225,Restaurants and Other Eating Places,254,86.6,13.4,220
"Grant,  Arkansas",7225,Restaurants and Other Eating Places,20,65,35,13
"Greene,  Arkansas",7225,Restaurants and Other Eating Places,62,91.9,8.1,57
"Hempstead,  Arkansas",7225,Restaurants and Other Eating Places,41,70.7,29.3,29
"Howard,  Arkansas",7225,Restaurants and Other Eating Places,23,69.6,30.4,16
"Independence,  Arkansas",7225,Restaurants and Other Eating Places,61,86.9,13.1,53
"Izard,  Arkansas",7225,Restaurants and Other Eating Places,D,D,D,13
"Jackson,  Arkansas",7225,Restaurants and Other Eating Places,24,66.7,33.3,16
"Jefferson,  Arkansas",7225,Restaurants and Other Eating Places,118,83.9,16.1,99
"Johnson,  Arkansas",7225,Restaurants and Other Eating Places,29,89.7,10.3,26
"Lafayette,  Arkansas",7225,Restaurants and Other Eating Places,D,D,D,5
"Lawrence,  Arkansas",7225,Restaurants and Other Eating Places,D,D,D,18
"Lee,  Arkansas",7225,Restaurants and Other Eating Places,7,57.1,42.9,4
"Lincoln,  Arkansas",7225,Restaurants and Other Eating Places,D,D,D,13
"Little River,  Arkansas",7225,Restaurants and Other Eating Places,18,55.6,44.4,10
"Logan,  Arkansas",7225,Restaurants and Other Eating Places,37,67.6,32.4,25
"Lonoke,  Arkansas",7225,Restaurants and Other Eating Places,95,84.2,15.8,80
"Madison,  Arkansas",7225,Restaurants and Other Eating Places,20,70,30,14
"Miller,  Arkansas",7225,Restaurants and Other Eating Places,62,82.3,17.7,51
"Mississippi,  Arkansas",7225,Restaurants and Other Eating Places,75,78.7,21.3,59
"Monroe,  Arkansas",7225,Restaurants and Other Eating Places,14,78.6,21.4,11
"Montgomery,  Arkansas",7225,Restaurants and Other Eating Places,D,D,D,8
"Nevada,  Arkansas",7225,Restaurants and Other Eating Places,10,70,30,7
"Newton,  Arkansas",7225,Restaurants and Other Eating Places,D,D,D,8
"Ouachita,  Arkansas",7225,Restaurants and Other Eating Places,44,70.5,29.5,31
"Perry,  Arkansas",7225,Restaurants and Other Eating Places,S,S,S,8
"Phillips,  Arkansas",7225,Restaurants and Other Eating Places,26,65.4,34.6,17
"Pike,  Arkansas",7225,Restaurants and Other Eating Places,16,75,25,12
"Poinsett,  Arkansas",7225,Restaurants and Other Eating Places,39,76.9,23.1,30
"Polk,  Arkansas",7225,Restaurants and Other Eating Places,29,82.8,17.2,24
"Pope,  Arkansas",7225,Restaurants and Other Eating Places,111,86.5,13.5,96
"Prairie,  Arkansas",7225,Restaurants and Other Eating Places,15,66.7,33.3,10
"Pulaski,  Arkansas",7225,Restaurants and Other Eating Places,903,89.5,10.5,808
"Randolph,  Arkansas",7225,Restaurants and Other Eating Places,D,D,D,20
"St. Francis,  Arkansas",7225,Restaurants and Other Eating Places,35,80,20,28
"Saline,  Arkansas",7225,Restaurants and Other Eating Places,160,82.5,17.5,132
"Scott,  Arkansas",7225,Restaurants and Other Eating Places,25,40,60,10
"Searcy,  Arkansas",7225,Restaurants and Other Eating Places,15,60,40,9
"Sebastian,  Arkansas",7225,Restaurants and Other Eating Places,276,84.8,15.2,234
"Sevier,  Arkansas",7225,Restaurants and Other Eating Places,26,69.2,30.8,18
