Location,Household Total,Median,Mean
"SullivanCounty,Tennessee",64795,42859,58135
"SumnerCounty,Tennessee",65186,60503,78533
"WashingtonCounty,Tennessee",52707,46276,62660
"WilliamsonCounty,Tennessee",73811,106054,137681
"WilsonCounty,Tennessee",47707,71153,84232
"AngelinaCounty,Texas",30210,41161,55000
"BastropCounty,Texas",25975,56508,72650
"BellCounty,Texas",119985,52275,68060
"BexarCounty,Texas",628924,53210,72419
"BowieCounty,Texas",33031,45997,67583
"BrazoriaCounty,Texas",117168,74799,90604
"BrazosCounty,Texas",78272,41559,71130
"CameronCounty,Texas",120499,37061,51206
"CollinCounty,Texas",334794,89638,113597
"ComalCounty,Texas",48604,77425,99722
"CoryellCounty,Texas",22682,51125,64622
"DallasCounty,Texas",924789,54399,80938
"DentonCounty,Texas",281964,80613,106034
"EctorCounty,Texas",51012,53254,79688
"EllisCounty,Texas",55586,70210,86074
"ElPasoCounty,Texas",267376,42165,57072
"FortBendCounty,Texas",230121,90680,119536
"GalvestonCounty,Texas",120938,64939,90498
"GraysonCounty,Texas",47135,52095,66350
"GreggCounty,Texas",45231,44219,61736
"GuadalupeCounty,Texas",51935,68157,86068
"HarrisCounty,Texas",1606399,56377,84551
"HarrisonCounty,Texas",23742,46548,57647
"HaysCounty,Texas",71267,64658,83539
"HendersonCounty,Texas",30403,44088,64111
"HidalgoCounty,Texas",234716,36176,53230
"HuntCounty,Texas",31377,53962,68424
"JeffersonCounty,Texas",95801,45390,64895
"JohnsonCounty,Texas",54048,59895,73321
"KaufmanCounty,Texas",36696,62033,76602
"LibertyCounty,Texas",26204,42877,65705
"LubbockCounty,Texas",111975,49136,68557
"McLennanCounty,Texas",87163,46860,67968
"MidlandCounty,Texas",56178,65349,98622
"MontgomeryCounty,Texas",193637,71123,104877
"NacogdochesCounty,Texas",23080,35562,54215
"NuecesCounty,Texas",129254,54318,70642
"OrangeCounty,Texas",32538,53480,70748
"ParkerCounty,Texas",44098,66548,83981
"PotterCounty,Texas",42179,42305,60695
"RandallCounty,Texas",49728,67015,87930
"RockwallCounty,Texas",31620,95731,107103
"SanPatricioCounty,Texas",23761,53348,64758
"SmithCounty,Texas",75792,52572,68343
"TarrantCounty,Texas",696887,61534,84829
"TaylorCounty,Texas",48607,48803,63267
"TomGreenCounty,Texas",43497,48696,65974
"TravisCounty,Texas",457810,70158,100262
"VictoriaCounty,Texas",32249,53778,85178
"WalkerCounty,Texas",21209,42662,55950
"WebbCounty,Texas",73483,35659,53833
"WichitaCounty,Texas",49486,44769,58193
"WilliamsonCounty,Texas",173125,81818,98793
"CacheCounty,Utah",37151,58003,73588
"DavisCounty,Utah",103665,76905,93257
"SaltLakeCounty,Utah",366239,68665,89138
"UtahCounty,Utah",157803,69799,84827
"WashingtonCounty,Utah",51774,55056,74494
"WeberCounty,Utah",79501,63158,76150
"ChittendenCounty,Vermont",64867,68843,89763
"AlbemarleCounty,Virginia",40318,71975,100166
"ArlingtonCounty,Virginia",103479,110388,143507
"AugustaCounty,Virginia",29664,55342,68377
"BedfordCounty,Virginia",29566,56479,75982
"ChesterfieldCounty,Virginia",122221,76059,92479
"FairfaxCounty,Virginia",395164,115717,147335
"FauquierCounty,Virginia",24777,94347,121672
"FrederickCounty,Virginia",30760,69827,89243
"HanoverCounty,Virginia",37931,83135,101533
"HenricoCounty,Virginia",127930,66337,93035
"JamesCityCounty,Virginia",28480,83455,109488
"LoudounCounty,Virginia",124916,134464,152447
"MontgomeryCounty,Virginia",36128,55706,85232
"PrinceWilliamCounty,Virginia",139792,97986,113703
"RoanokeCounty,Virginia",38541,60454,81978
"RockinghamCounty,Virginia",31186,57755,77230
"SpotsylvaniaCounty,Virginia",44169,81146,95901
"StaffordCounty,Virginia",47017,97484,119793
"YorkCounty,Virginia",23797,89418,105338
"Alexandriacity,Virginia",69875,87920,121672
"Chesapeakecity,Virginia",83364,72928,90320
"Hamptoncity,Virginia",54181,50435,65991
"Lynchburgcity,Virginia",27545,41264,60508
"NewportNewscity,Virginia",67628,50524,64926
"Norfolkcity,Virginia",87910,46467,64343
"Portsmouthcity,Virginia",36615,48516,60637
"Richmondcity,Virginia",91704,42373,69458
"Roanokecity,Virginia",42213,37044,49385
"Suffolkcity,Virginia",33377,66669,85140
"VirginiaBeachcity,Virginia",168061,71117,90576
"BentonCounty,Washington",70434,62508,80160
"ChelanCounty,Washington",28353,52080,70387
"ClallamCounty,Washington",31837,48587,60096
"ClarkCounty,Washington",169997,69062,89125
"CowlitzCounty,Washington",40170,50637,65490
"FranklinCounty,Washington",25903,57670,71699
"GrantCounty,Washington",28351,48335,61186
"GraysHarborCounty,Washington",27330,49623,67813
"IslandCounty,Washington",33365,64813,81722
"KingCounty,Washington",861154,86095,116385
"KitsapCounty,Washington",101995,69171,85625
"LewisCounty,Washington",29509,45523,58780
"BurleighCounty,NorthDakota",39075,64558,85609
"CassCounty,NorthDakota",76206,59240,76699
"GrandForksCounty,NorthDakota",30045,50008,65489
"WardCounty,NorthDakota",27803,62573,77678
"AllenCounty,Ohio",39982,47592,60919
