NAME,Household Total,Median,Mean
"Arlington County, Virginia",103479,110388,143507
"Augusta County, Virginia",29664,55342,68377
"Bedford County, Virginia",29566,56479,75982
"Chesterfield County, Virginia",122221,76059,92479
"Fairfax County, Virginia",395164,115717,147335
"Fauquier County, Virginia",24777,94347,121672
"Frederick County, Virginia",30760,69827,89243
"Hanover County, Virginia",37931,83135,101533
"Henrico County, Virginia",127930,66337,93035
"James City County, Virginia",28480,83455,109488
"Loudoun County, Virginia",124916,134464,152447
"Montgomery County, Virginia",36128,55706,85232
"Prince William County, Virginia",139792,97986,113703
"Roanoke County, Virginia",38541,60454,81978
"Rockingham County, Virginia",31186,57755,77230
"Spotsylvania County, Virginia",44169,81146,95901
"Stafford County, Virginia",47017,97484,119793
"York County, Virginia",23797,89418,105338
"Alexandria city, Virginia",69875,87920,121672
"Chesapeake city, Virginia",83364,72928,90320
"Hampton city, Virginia",54181,50435,65991
"Lynchburg city, Virginia",27545,41264,60508
"Newport News city, Virginia",67628,50524,64926
"Norfolk city, Virginia",87910,46467,64343
"Portsmouth city, Virginia",36615,48516,60637
"Richmond city, Virginia",91704,42373,69458
"Roanoke city, Virginia",42213,37044,49385
"Suffolk city, Virginia",33377,66669,85140
"Virginia Beach city, Virginia",168061,71117,90576
"Benton County, Washington",70434,62508,80160
"Chelan County, Washington",28353,52080,70387
"Clallam County, Washington",31837,48587,60096
"Clark County, Washington",169997,69062,89125
"Cowlitz County, Washington",40170,50637,65490
"Franklin County, Washington",25903,57670,71699
"Grant County, Washington",28351,48335,61186
"Grays Harbor County, Washington",27330,49623,67813
"Island County, Washington",33365,64813,81722
"King County, Washington",861154,86095,116385
"Kitsap County, Washington",101995,69171,85625
"Lewis County, Washington",29509,45523,58780
"Burleigh County, North Dakota",39075,64558,85609
"Cass County, North Dakota",76206,59240,76699
"Grand Forks County, North Dakota",30045,50008,65489
"Ward County, North Dakota",27803,62573,77678
"Allen County, Ohio",39982,47592,60919
"Ashtabula County, Ohio",38728,42965,55721
"Athens County, Ohio",21732,36193,56230
"Belmont County, Ohio",27240,48220,62413
"Butler County, Ohio",137314,63273,80568
"Clark County, Ohio",54548,46811,60848
"Clermont County, Ohio",77925,60661,80677
"Columbiana County, Ohio",41469,47864,59138
"Cuyahoga County, Ohio",534355,46601,69704
"Delaware County, Ohio",68617,101693,128117
"Erie County, Ohio",30682,48949,73232
"Fairfield County, Ohio",55614,65316,81512
"Franklin County, Ohio",502932,56055,75539
"Geauga County, Ohio",35519,76384,98903
"Greene County, Ohio",63908,62018,82225
"Hamilton County, Ohio",335907,53229,77511
"Hancock County, Ohio",31693,52810,70192
"Jefferson County, Ohio",26971,44257,56107
"Lake County, Ohio",96325,61870,77742
"Licking County, Ohio",62898,58685,77785
"Lorain County, Ohio",117871,54504,74417
"Lucas County, Ohio",180217,44534,63940
"Mahoning County, Ohio",96998,42295,58567
"Marion County, Ohio",25114,42826,54192
"Medina County, Ohio",67812,72618,91442
"Miami County, Ohio",41313,60170,70339
"Montgomery County, Ohio",223131,46936,65800
"Muskingum County, Ohio",34169,43422,53368
"Portage County, Ohio",62468,49695,67436
"Richland County, Ohio",48437,44073,55670
"Ross County, Ohio",28710,46422,62408
"Scioto County, Ohio",29904,39210,54291
"Stark County, Ohio",152129,50994,66163
"Summit County, Ohio",222202,52036,70827
"Trumbull County, Ohio",85799,45552,60457
"Tuscarawas County, Ohio",34968,50440,58847
"Warren County, Ohio",82404,80207,105864
"Wayne County, Ohio",43277,53434,64910
"Wood County, Ohio",50175,60166,78726
"Canadian County, Oklahoma",44235,67177,78821
"Cleveland County, Oklahoma",105102,61288,75465
"Comanche County, Oklahoma",42986,51164,66593
"Creek County, Oklahoma",25658,43609,57170
"Muskogee County, Oklahoma",26000,40860,54551
"Oklahoma County, Oklahoma",300690,51078,72437
"Payne County, Oklahoma",30657,35927,59747
"Pottawatomie County, Oklahoma",25547,41716,56177
"Rogers County, Oklahoma",34130,62434,78871
"Tulsa County, Oklahoma",254473,51325,73613
"Wagoner County, Oklahoma",28289,62041,71480
"Benton County, Oregon",34543,55459,77905
"Clackamas County, Oregon",154070,74891,99007
"Deschutes County, Oregon",71262,61870,78473
"Douglas County, Oregon",43818,42889,60183
"Jackson County, Oregon",86745,48563,66160
"Josephine County, Oregon",35439,36472,50614
"Klamath County, Oregon",26359,45604,58173
"Lane County, Oregon",147712,47777,63747
"Linn County, Oregon",46645,51310,69891
"Marion County, Oregon",116787,56550,69379
"Multnomah County, Oregon",320476,62629,86044
"Polk County, Oregon",29291,52485,70588
"Umatilla County, Oregon",25900,50171,61956
"Washington County, Oregon",213820,75634,94948
"Yamhill County, Oregon",35832,61596,82136
"Adams County, Pennsylvania",38125,59300,72296
